panel_id,dept,building_id,region_id,lon,lat,panel_2d_area_m2,surface_m2,tilt_degrees,azimuth_degrees,confidence,source_image,source_tile,building_link_method,region_match_method
056100032_p0,56,,,-3.0347753119443954,47.80877234381524,9.494,9.494,,,0.9242,056100032.jpg,,none,none
056100058_p1,56,,,-3.442739827400083,47.800145648652915,7.958,7.958,,,0.9611,056100058.jpg,,none,none
056100102_p2,56,,,-2.96042345761975,47.58070040315469,11.139,11.139,,,0.9629,056100102.jpg,,none,none
056100116_p3,56,,,-3.4576624725116973,47.97285416878873,24.134,24.134,,,0.8547,056100116.jpg,,none,none
056100148_p4,56,,,-2.889195822137882,47.868403539416626,16.653,16.653,,,0.9702,056100148.jpg,,none,none
056100231_p5,56,,,-2.8139461392323946,47.632231865002616,3.488,3.488,,,0.8143,056100231.jpg,,none,none
056100231_p6,56,,,-2.813765983161733,47.6321832950712,12.207,12.207,,,0.8593,056100231.jpg,,none,none
056100231_p7,56,,,-2.813633522107326,47.63214790961864,2.28,2.28,,,0.7963,056100231.jpg,,none,none
056100231_p8,56,,,-2.8135140628203374,47.632112222774374,17.036,17.036,,,0.8684,056100231.jpg,,none,none
056100237_p9,56,,,-2.815155043469271,47.63277091675979,2.059,2.059,,,0.8085,056100237.jpg,,none,none
056100251_p10,56,,,-2.8253670910280593,47.63361266576518,8.043,8.043,,,0.9337,056100251.jpg,,none,none
056100280_p11,56,,,-3.345889212630707,47.81129217553761,11.49,11.49,,,0.9806,056100280.jpg,,none,none
056100481_p12,56,56004_056100481,56004_056100481_r1,-2.385338097467786,47.50787762530149,18.831,27.351,46.49,221.07,0.941,056100481.jpg,0294_6726,stage2a_spatial,overlap
056100569_p13,56,56077_056100569,56077_056100569_r10,-2.4165691578501587,47.58133550861,14.283,20.056,44.59,200.39,0.9388,056100569.jpg,0293_6735,stage2a_spatial,contains
056100651_p14,56,,,-2.5922173435981777,47.80780434334566,25.116,25.116,,,0.9826,056100651.jpg,,none,none
056100767_p15,56,,,-3.189532147488137,47.795505696151,11.655,11.655,,,0.9694,056100767.jpg,,none,none
056100926_p16,56,56221_056100926,56221_056100926_r5,-2.2105866055887122,47.69096038586929,15.679,16.431,17.4,186.9,0.9776,056100926.jpg,0309_6746,stage2a_spatial,overlap
